name,games played,wins,losses,last_played,os_elo,os_mu,os_sigma,os_rank,ts_elo,ts_mu,ts_sigma
JJPUNK,140,81,59,2023-11-14 00:00:00,1848.2111934168333,36.74392326690724,2.315368779204877,29.79781692929261,1792.6258937495168,32.48830498804178,1.3979347526776587
JOSHUA GRAHAM,1,1,0,2020-05-02 00:00:00,1543.8676177188213,25.81235918708543,8.142815609225254,1.383912359409667,1602.8433318290085,26.5506831783733,7.790632785440416
JOZY ALTIDORE,2,2,0,2020-03-16 00:00:00,1586.5163907510346,27.34423905101272,8.020319796710575,3.283279660880993,1683.8202025528053,29.084161643532344,7.3005963038823625
KAIS58,157,61,96,2023-11-14 00:00:00,1082.1327065995824,9.2275347589227,2.1063608116432078,2.9084523239930764,1162.9983967669566,12.78949852121518,1.331374646151234
KATYUSHA,1,0,1,2021-04-04 00:00:00,1480.134886451275,23.5231752138888,8.134836462976132,-0.8813341750395978,1478.4797058179547,22.65978735180109,7.752563468992382
KEYSOO,8,6,2,2019-05-14 00:00:00,1683.7157278812415,30.835493236083398,7.337393157352605,8.823313764025581,1787.716129995499,32.33469593117603,5.493278779764637
KHEPRI,1,0,1,2021-04-04 00:00:00,1480.134886451275,23.5231752138888,8.134836462976132,-0.8813341750395978,1478.4797058179547,22.65978735180109,7.752563468992382
KHORNEY,12,5,7,2020-03-22 00:00:00,1494.2608753587983,24.0305595165779,6.462070348340739,4.644348471555681,1526.422956630019,24.159761262825402,4.432925696178054
KIPSINAS,280,151,129,2022-02-19 00:00:00,1454.8027330102761,22.61328231411248,1.9800274138126148,16.67320007267464,1507.4341524892684,23.565669074034794,1.1786616197242008
LEO,2,0,2,2020-04-21 00:00:00,1442.168032109868,22.159462836551892,7.788050744952341,-1.2046893983051312,1412.2934118406756,20.58905346221839,6.942236969167855
LILL_LENIN,26,15,11,2019-05-10 00:00:00,1486.2189148941243,23.741704376641547,6.050499532165376,5.590205780145418,1484.1769838480423,22.83803493126712,3.5418191992054897
LISEK,6,0,6,2019-04-01 00:00:00,1272.1069243963793,16.05112329893627,7.680515774258104,-6.990424023838038,1151.633527560167,12.433932158408215,6.365149473953252
LORD SHIFTY,5,3,2,2020-12-27 00:00:00,1383.2014263947399,20.04147093392629,7.628806869706607,-2.8449496751935293,1228.451062913591,14.837279803543895,5.703508336977569
LORDURY,5,2,3,2020-02-21 00:00:00,1451.812020331636,22.505860407092076,7.5758099289209575,-0.2215693796707967,1443.1237683587553,21.5536257359254,6.176315902910153
LTUNDERPANTS,174,76,98,2020-06-14 00:00:00,1627.8984516509868,28.830620517897323,2.643862443953815,20.89903318603588,1612.576190916514,26.855189745275947,1.3997313868019043
MAJOR TOM,203,81,122,2023-03-12 00:00:00,1301.390523234183,17.10294618183781,2.5751371731891073,9.37753466227049,1377.9784096160015,19.515459009987374,1.375066455963944
MATRIN,258,141,117,2020-07-01 00:00:00,1643.328803525318,29.384855579050125,2.208943358044359,22.758025504917047,1647.7020158247428,27.954151957331316,1.2182147048650962
MISTER MAF,727,335,392,2023-05-04 00:00:00,1442.576511435917,22.17413480036038,1.4849232750715229,17.71936497514581,1452.7174283923755,21.853777259193528,1.0994079467606823
MORKA,147,83,64,2023-11-15 00:00:00,1653.1244146102936,29.736699215081643,2.033620204985696,23.635838600124554,1617.2505385008435,27.001433466942593,1.3192544491451905
MYSTHALIN,142,85,57,2020-04-17 00:00:00,1775.6900836329241,34.13907393856383,3.0640197439875325,24.947014706601237,1739.7675388233306,30.834554939265548,1.5797513284181635
N8D0G,2,2,0,2020-03-14 00:00:00,1617.9256834004436,28.47241366258916,7.793319163235287,5.092456172883303,1728.2288857114952,30.47355149575776,6.817658184735333
NAPOLEON BONAPARTE,3,2,1,2020-03-06 00:00:00,1595.764341799756,27.676411561190715,7.599640915225104,4.877488815515402,1663.067682080719,28.434889039591724,6.591650036351633
NECO_SPRING,5,3,2,2021-06-24 00:00:00,1336.1389552431624,18.351057663436507,7.628621465022214,-4.5348067316301375,1161.0227083776263,12.727686253792477,5.349854090179864
NIGHTRAIN,1,0,1,2019-06-26 00:00:00,1448.4724988943701,22.385909813412926,8.19524624192603,-2.1998289123651666,1420.4878928457806,20.845429646850178,7.587078434635903
NIKO,191,88,103,2020-02-22 00:00:00,1488.3109266374095,23.81684629601676,2.443132977812628,16.487447362578877,1524.0696103296332,24.086133421692526,1.2952220230308318
NORMAC,12,4,8,2023-05-04 00:00:00,1178.568331391218,12.691357543976153,5.93910193669546,-5.125948266110228,1162.6907419624545,12.779873095893826,4.06315930259221
O4B,1,1,0,2022-09-28 00:00:00,1566.8718259360292,26.63863579126615,7.951543555974712,2.784005123342016,1622.8711730123127,27.177283143128616,7.552746291257354
OBSCURA,7,1,6,2020-05-17 00:00:00,1456.362332199743,22.669300774299767,6.948288470914956,1.824435361554901,1487.3138129286162,22.936175163823467,5.541713308513611
OCTAMURK,4,2,2,2019-04-09 00:00:00,1479.9961357572881,23.518191497380382,7.91741374302954,-0.23404973170823595,1412.1834355590436,20.58561269525985,6.793085173143693
OHSLOWPOKE,72,21,51,2020-01-30 00:00:00,1242.2714088220578,14.97947639590178,4.494968352002065,1.494571339895586,1328.093847950217,17.95474838243995,2.3908635980141004
OLAZAIKA,50,24,26,2020-01-25 00:00:00,1468.521080437313,23.106024747147156,4.563196140612053,9.416436325310997,1583.6158013183656,25.949122089984794,2.4158639987363344
OMGNIKO,93,43,50,2021-05-11 00:00:00,1495.5687095130133,24.077534954879138,2.652115359978279,16.121188874944302,1519.7878430612059,23.952172142744317,1.629916970969778
OTTO VON SAXONY,420,223,197,2023-03-23 00:00:00,1636.493326973231,29.139335528975526,1.7154018306449261,23.993130037040746,1626.0526675529102,27.276820799172615,1.1191862657781089
PERUSPUMMI,1,0,1,2021-02-03 00:00:00,1479.0726939949905,23.48502285639498,7.981762631906189,-0.46026503932358764,1475.7549674094403,22.57453997166079,7.3450019674458895
PER_NUDER,141,92,49,2020-01-15 00:00:00,1686.182391787732,30.924092098390062,3.256081644049108,21.155847166242737,1684.9418217745142,29.119253122357215,1.6291208258592633
PINKPREDATOR,524,242,282,2023-11-11 00:00:00,1459.404113762098,22.778556998911842,1.5272325231741188,18.196859429389484,1459.750163826697,22.073806554160818,1.0998985410156903
PROPER CLARIFICATION,8,2,6,2019-05-17 00:00:00,1361.1300191732898,19.248699140338214,7.112725145488996,-2.089476296128776,1326.6770881535151,17.910423004055172,5.032114811418827
PROPER INITIATION,78,39,39,2019-05-12 00:00:00,1535.5051590878556,25.5119922344412,4.303774587167843,12.60066847293767,1530.1440058555506,24.276179667197145,2.1562487386659255
PUNKMASTER,2,1,1,2021-02-01 00:00:00,1533.9034328496996,25.454460633944695,7.782016781076461,2.1084102907153124,1568.0629255146584,25.462527886383324,7.215062602194874
RAWKFISTOMG,126,66,60,2023-03-14 00:00:00,1543.2143520835775,25.78889486674801,2.5291474321116363,18.2014525704131,1524.0504488735983,24.08553392783963,1.5061577541153464
RAZOR,380,243,137,2022-04-04 00:00:00,1726.5490333175453,32.374001226776606,1.7913147589514131,27.000056949922367,1743.9030378939476,30.963940006192,1.1498633434987655
ROBIEMAN,706,399,307,2021-07-09 00:00:00,1797.7679373877631,34.93207728194781,1.5988860152296767,30.135419236258784,1764.3233530526068,31.602819086648,1.115114996163738
RUNZOMBIE,180,81,99,2023-11-14 00:00:00,1237.8057040895972,14.819074989916803,1.9913435983899652,8.845044194746908,1249.4011740241788,15.4927343162578,1.3182534915676425
RYEASSASSIN,527,246,281,2023-11-11 00:00:00,1428.49117047326,21.668210510792964,1.5320223860370272,17.072143352681884,1433.4919993304632,21.252281917666526,1.1045930364693815
SAAVEDRA,396,192,204,2023-11-14 00:00:00,1467.9259362944997,23.084648063512642,1.6504733852278792,18.133227907829003,1479.7063058122983,22.69816330586374,1.1378652528020776
